,Date,Solana Price,Solana Percent Change Rate
599,04-02-2022,132.49,98.49093071662206
600,04-03-2022,136.9,103.32855309834703
601,04-04-2022,132.14,96.52300949598246
602,04-05-2022,126.87,96.01180566066294
603,04-06-2022,112.95,89.02813903996216
604,04-07-2022,118.48,104.89597166888002
605,04-08-2022,109.92,92.77515192437542
606,04-09-2022,112.96,102.76564774381367
607,04-10-2022,111.07,98.32684135977338
608,04-11-2022,99.67,89.7362023948861
609,04-12-2022,103.22,103.56175378749874
610,04-13-2022,104.94,101.66634373183491
611,04-14-2022,100.77,96.02630074328188
612,04-15-2022,101.31,100.53587377195595
613,04-16-2022,102.06,100.74030204323363
614,04-17-2022,100.15,98.12855183225554
615,04-18-2022,102.33,102.1767348976535
616,04-19-2022,108.51,106.03928466725301
617,04-20-2022,105.59,97.3090037784536
618,04-21-2022,101.78,96.39170375982575
619,04-22-2022,100.55,98.79151110237767
620,04-23-2022,100.63,100.07956240676282
621,04-24-2022,99.23,98.6087647818742
622,04-25-2022,100.99,101.77365716013303
623,04-26-2022,95.7,94.76185760966433
624,04-27-2022,98.36,102.77951933124348
625,04-28-2022,98.24,99.87799918666124
626,04-29-2022,93.96,95.64332247557003
627,04-30-2022,84.63,90.07024265644955
628,05-01-2022,89.68,105.96715112844146
629,05-02-2022,87.5,97.56913470115968
630,05-03-2022,85.86,98.12571428571428
631,05-04-2022,92.77,108.04798509201024
632,05-05-2022,84.52,91.10703891344184
633,05-06-2022,81.68,96.63984855655468
634,05-07-2022,78.86,96.54750244857982
635,05-08-2022,75.38,95.58711640882576
636,05-09-2022,62.16,82.46219156274874
637,05-10-2022,66.9,107.62548262548263
638,05-11-2022,50.9,76.08370702541106
639,05-12-2022,44.64,87.70137524557957
640,05-13-2022,48.92,109.58781362007169
641,05-14-2022,52.43,107.17497955846281
642,05-15-2022,58.83,112.20675185962234
643,05-16-2022,53.79,91.4329423763386
644,05-17-2022,57.02,106.0048336121956
645,05-18-2022,49.93,87.56576639775517
646,05-19-2022,52.2,104.54636491087524
647,05-20-2022,49.43,94.6934865900383
648,05-21-2022,50.31,101.78029536718594
649,05-22-2022,52.48,104.31325780162987
650,05-23-2022,49.17,93.69283536585367
