,Date,MSFT Price,MSFT Percent Change Rate
1188,12-23-2020,221.02,98.69607930695723
1189,12-24-2020,222.75,100.78273459415436
1190,12-28-2020,224.96,100.99214365881033
1191,12-29-2020,224.15,99.6399359886202
1192,12-30-2020,221.68,98.89805933526657
1193,12-31-2020,222.42,100.33381450739805
1194,01-04-2021,217.69,97.87339268051434
1195,01-05-2021,217.9,100.09646745371859
1196,01-06-2021,212.25,97.4070674621386
1197,01-07-2021,218.29,102.8457008244994
1198,01-08-2021,219.62,100.60928123138943
1199,01-11-2021,217.49,99.03014297422821
1200,01-12-2021,214.93,98.82293438778794
1201,01-13-2021,216.34,100.65602754385148
1202,01-14-2021,213.02,98.46537857076824
1203,01-15-2021,212.65,99.82630738897755
1204,01-19-2021,216.44,101.78227133787914
1205,01-20-2021,224.34,103.64997227869155
1206,01-21-2021,224.97,100.2808237496657
1207,01-22-2021,225.95,100.43561363737388
1208,01-25-2021,229.53,101.58442133215313
1209,01-26-2021,232.33,101.21988411100946
1210,01-27-2021,232.9,100.2453406792063
1211,01-28-2021,238.93,102.5890940317733
1212,01-29-2021,231.96,97.08282760641193
1213,02-01-2021,239.65,103.31522676323503
1214,02-02-2021,239.51,99.94158147298143
1215,02-03-2021,243.0,101.45714166423114
1216,02-04-2021,242.01,99.59259259259258
1217,02-05-2021,242.2,100.07850915251436
1218,02-08-2021,242.47,100.11147811725847
1219,02-09-2021,243.77,100.53614880191364
1220,02-10-2021,242.82,99.61028838659391
1221,02-11-2021,244.49,100.68775224446091
1222,02-12-2021,244.99,100.20450734181357
1223,02-16-2021,243.7,99.47344789583248
1224,02-17-2021,244.2,100.20517029134182
1225,02-18-2021,243.79,99.83210483210483
1226,02-19-2021,240.97,98.8432667459699
1227,02-22-2021,234.51,97.31916836120679
1228,02-23-2021,233.27,99.47123790030277
1229,02-24-2021,234.55,100.54872036695674
1230,02-25-2021,228.99,97.62950330419953
1231,02-26-2021,232.38,101.48041399187737
1232,03-01-2021,236.94,101.96230312419314
1233,03-02-2021,233.87,98.70431332826877
1234,03-03-2021,227.56,97.30191987001325
1235,03-04-2021,226.73,99.635261030058
1236,03-05-2021,231.6,102.14792925506109
1237,03-08-2021,227.39,98.18221070811745
1238,03-09-2021,233.78,102.8101499626193
1239,03-10-2021,232.42,99.4182564804517
1240,03-11-2021,237.13,102.02650374322349
1241,03-12-2021,235.75,99.4180407371484
1242,03-15-2021,234.81,99.60127253446448
1243,03-16-2021,237.71,101.23504109705719
1244,03-17-2021,237.04,99.71814395692229
1245,03-18-2021,230.72,97.33378332770842
1246,03-19-2021,230.35,99.83963245492372
1247,03-22-2021,235.99,102.4484480138919
1248,03-23-2021,237.58,100.67375736260011
1249,03-24-2021,235.46,99.10766899570672
1250,03-25-2021,232.34,98.67493417140916
1251,03-26-2021,236.48,101.78187139536885
1252,03-29-2021,235.24,99.47564276048715
1253,03-30-2021,231.85,98.55891855126679
1254,03-31-2021,235.77,101.69074832866079
1255,04-01-2021,242.35,102.79085549476183
1256,04-05-2021,249.07,102.77284918506294
1257,04-06-2021,247.86,99.51419279720561
1258,04-07-2021,249.9,100.8230452674897
1259,04-08-2021,253.25,101.3405362144858
1260,04-09-2021,255.85,101.02665350444224
1261,04-12-2021,255.91,100.0234512409615
1262,04-13-2021,258.49,101.00816693368763
1263,04-14-2021,255.59,98.8780997330651
1264,04-15-2021,259.5,101.52979381039945
1265,04-16-2021,260.74,100.47784200385357
1266,04-19-2021,258.74,99.23295236634195
1267,04-20-2021,258.26,99.81448558398391
1268,04-21-2021,260.58,100.89831952296136
1269,04-22-2021,257.17,98.69138076598358
1270,04-23-2021,261.15,101.54761441847803
1271,04-26-2021,261.55,100.15316867700557
1272,04-27-2021,261.97,100.16058115083159
1273,04-28-2021,254.56,97.17143184334083
1274,04-29-2021,252.51,99.19468887492144
1275,04-30-2021,252.18,99.86931210645123
1276,05-03-2021,251.86,99.87310651122215
1277,05-04-2021,247.79,98.38402286984832
1278,05-05-2021,246.47,99.46729085112393
1279,05-06-2021,249.73,101.32267618777134
1280,05-07-2021,252.46,101.0931806350859
1281,05-10-2021,247.18,97.90857957696268
1282,05-11-2021,246.23,99.61566469779108
1283,05-12-2021,239.0,97.06372091134305
1284,05-13-2021,243.03,101.68619246861925
1285,05-14-2021,248.15,102.1067357939349
1286,05-17-2021,245.18,98.80314326012493
1287,05-18-2021,243.08,99.14348641814178
1288,05-19-2021,243.12,100.0164554879052
1289,05-20-2021,246.48,101.38203356367225
1290,05-21-2021,245.17,99.46851671535217
1291,05-24-2021,250.78,102.28820818207775
1292,05-25-2021,251.72,100.3748305287503
1293,05-26-2021,251.49,99.90862863499126
1294,05-27-2021,249.31,99.13316632868106
1295,05-28-2021,249.68,100.14840961052505
1296,06-01-2021,247.4,99.08683114386415
1297,06-02-2021,247.3,99.95957962813257
1298,06-03-2021,245.71,99.35705620703598
1299,06-04-2021,250.79,102.06747792112651
1300,06-07-2021,253.81,101.20419474460705
1301,06-08-2021,252.57,99.5114455695205
1302,06-09-2021,253.59,100.40384843805678
1303,06-10-2021,257.24,101.43933120391182
1304,06-11-2021,257.89,100.25268232001243
1305,06-14-2021,259.89,100.77552444840822
1306,06-15-2021,258.36,99.41128939166572
1307,06-16-2021,257.38,99.62068431645766
1308,06-17-2021,260.9,101.36762763229466
1309,06-18-2021,259.43,99.43656573399771
1310,06-21-2021,262.63,101.23347338395715
1311,06-22-2021,265.51,101.09659977915699
1312,06-23-2021,265.275,99.91149109261421
1313,06-24-2021,266.69,100.53340872679296
1314,06-25-2021,265.02,99.37380479208069
1315,06-28-2021,268.72,101.39612104746814
1316,06-29-2021,271.4,100.9973206311402
1317,06-30-2021,270.9,99.81577008106116
1318,07-01-2021,271.6,100.25839793281655
1319,07-02-2021,277.65,102.22754050073637
1320,07-06-2021,277.66,100.00360165676211
1321,07-07-2021,279.93,100.81754663977527
1322,07-08-2021,277.42,99.10334726538778
1323,07-09-2021,277.94,100.18744142455482
1324,07-12-2021,277.32,99.77693027272073
1325,07-13-2021,280.98,101.31977498918219
1326,07-14-2021,282.51,100.54452274183214
1327,07-15-2021,281.03,99.47612473894729
1328,07-16-2021,280.75,99.90036650891365
1329,07-19-2021,277.01,98.66785396260018
1330,07-20-2021,279.32,100.83390491318002
1331,07-21-2021,281.4,100.7446656164972
1332,07-22-2021,286.14,101.68443496801707
1333,07-23-2021,289.67,101.23366184385267
1334,07-26-2021,289.05,99.78596333759106
1335,07-27-2021,286.54,99.13163812489188
1336,07-28-2021,286.22,99.88832274726042
1337,07-29-2021,286.5,100.09782684648172
1338,07-30-2021,284.91,99.44502617801048
1339,08-02-2021,284.82,99.96841107718227
1340,08-03-2021,287.12,100.80752756126677
1341,08-04-2021,286.51,99.78754527723599
1342,08-05-2021,289.52,101.05057415098948
1343,08-06-2021,289.46,99.97927604310583
1344,08-09-2021,288.33,99.60961790921026
1345,08-10-2021,286.44,99.34450109249818
1346,08-11-2021,286.95,100.17804775869293
1347,08-12-2021,289.81,100.99668931869662
1348,08-13-2021,292.85,101.04896311376419
1349,08-16-2021,294.6,100.59757555062319
1350,08-17-2021,293.08,99.48404616429055
1351,08-18-2021,290.73,99.19817114780949
1352,08-19-2021,296.77,102.07752897877755
1353,08-20-2021,304.36,102.55753613909764
1354,08-23-2021,304.65,100.09528190300958
1355,08-24-2021,302.62,99.333661578861
1356,08-25-2021,302.01,99.79842707025311
1357,08-26-2021,299.09,99.033144597861
1358,08-27-2021,299.72,100.21063893811228
1359,08-30-2021,303.59,101.29120512478312
1360,08-31-2021,301.88,99.43674034059093
1361,09-01-2021,301.83,99.98343712733536
